original,translation
There are five pilgrim-shines in the Outer Isles and I should attempt to visit all of them,Existem cinco santuários de peregrinos nas Ilhas Exteriores e devo tentar visitar todos eles
I’ve learned the prayer to recite at each of them,Aprendi a prece para recitar em cada um deles
Shrine of Agility,Santuário da Agilidade
I should pray at the Shrine of Agility to receive its blessing,Devo rezar no Santuário da Agilidade para receber sua bênção
The shrine can be found on one of the small islands in the archipelago of the Outer Isles,O santuário pode ser encontrado em uma das pequenas ilhas no arquipélago das Ilhas Exteriores
Shrine of Fortitude,Santuário da Fortitude
I should pray at the Shrine of Fortitude to receive its blessing,Devo rezar no Santuário da Fortitude para receber sua bênção
"The shrine is said to be located somewhere on the island of Eryll, north of Idra","Dizem que o santuário fica em algum lugar na ilha de Eryll, ao norte de Idra"
Shrine of Intellect,Santuário do Intelecto
I should pray at the Shrine of Intellect to receive its blessing,Devo rezar no Santuário do Intelecto para receber sua bênção
The shrine can be found on an island directly east of Idra,O santuário pode ser encontrado em uma ilha diretamente a leste de Idra
Shrine of Presence,Santuário da Presença
I should pray at the Shrine of Presence to receive its blessing,Devo rezar no Santuário da Presença para receber sua bênção
The shrine can be found on Idra - at the island’s northernmost point,O santuário pode ser encontrado em Idra - no ponto mais ao norte da ilha
Shrine of Strength,Santuário da Força
I should pray at the Shrine of Strength to receive its blessing,Devo rezar no Santuário da Força para receber sua bênção
"The shrine is said to be located on Gradla's western coast, near the volcano Karaban","Dizem que o santuário fica na costa oeste de Gradla, perto do vulcão Karaban"
Carnivale,Carnaval
Preparations,Preparativos
The Baron and Baroness of Firgol are putting on a feast called the Carnivale for the commoners of the village of Firgol,O Barão e a Baronesa de Firgol estão organizando uma festa chamada Carnaval para os plebeus do vilarejo de Firgol
"The preparations are taking a bit longer than expected however, and they’ve asked me to see if I can help out","Os preparativos estão demorando um pouco mais do que o esperado, no entanto, e eles me pediram para ver se posso ajudar"
"The Baroness asked me to talk to Ari the brewer, Camilla the weaver and Klara the cook to see if they need my help","A Baronesa me pediu para falar com Ari, o cervejeiro, Camilla, a tecelã, e Klara, a cozinheira, para ver se precisam da minha ajuda"
All three can be found in the main village,Todos os três podem ser encontrados no vilarejo principal
The Brewer,O Cervejeiro
The Baroness of Firgol has asked me to talk to Ari the brewer to see if they need my help in finishing preparations for the Canivale,A Baronesa de Firgol me pediu para falar com Ari, o cervejeiro, para ver se eles precisam da minha ajuda para terminar os preparativos para o Carnaval
Talk to Ari,Falar com Ari
I need to seek out Ari the Brewer,Preciso procurar por Ari, o Cervejeiro
He lives somewhere in the village of Firgol,Ele mora em algum lugar do vilarejo de Firgol
Gnawing at the Roots,Roendo as Raízes
Ari the Brewer in Firgol has asked me to find and clear three mole-burrows in his orchards,Ari, o Cervejeiro em Firgol, pediu para eu encontrar e limpar três tocas de toupeira em seus pomares
They may be well hidden so I might need to search for them,Elas podem estar bem escondidas, então talvez eu precise procurá-las
"Once I find them, I should use a shovel to collapse them","Assim que as encontrar, devo usar uma pá para desmoroná-las"
Once I’m done I am to return to Ari,Assim que terminar, devo voltar até Ari
The orchards are located north of Ari’s house in the village of Firgol,Os pomares ficam ao norte da casa de Ari no vilarejo de Firgol
Burrows Found,Tocas Encontradas
The Cook,A Cozinheira
The Baroness of Firgol has asked me to talk to Klara the cook to see if they need my help in finishing preparations for the Canivale,A Baronesa de Firgol pediu para eu falar com Klara, a cozinheira, para ver se eles precisam da minha ajuda para terminar os preparativos para o Carnaval
Talk to Klara,Falar com Klara
I need to seek out Klara the cook,Preciso procurar por Klara, a cozinheira
She works at the inn in Firgol,Ela trabalha na estalagem em Firgol
Queen's Gambit,Gambito da Rainha
Klara the cook at the inn is preparing honey cakes for the carnivale,Klara, a cozinheira da estalagem, está preparando bolos de mel para o carnaval
She’s asked that I go to the beehives west of the village and fetch her at least one honeycomb of the local 'Firgol honey',Ela pediu para eu ir até as colmeias a oeste do vilarejo e buscar para ela pelo menos um favo do 'mel de Firgol' local
The Weaver,A Tecelã
The Baroness of Firgol has asked me to talk to Camilla the weaver to see if they need my help in finishing preparations for the Canivale,A Baronesa de Firgol pediu para eu falar com Camilla, a tecelã, para ver se precisam da minha ajuda para terminar os preparativos para o Carnaval
Talk to Camilla,Falar com Camilla
I need to seek out Camilla the weaver,Preciso procurar por Camilla, a tecelã
She lives somewhere in the village of Firgol,Ela mora em algum lugar do vilarejo de Firgol
A Song for Camilla,Uma Canção para Camilla
Camilla the weaver has a crush on a woman named Cass,Camilla, a tecelã, está caidinha por uma mulher chamada Cass
Unfortunately she fears her love is unrequited and has asked me to talk to Cass on her behalf,Infelizmente ela teme que seu amor não seja correspondido e pediu para eu falar com Cass em seu nome
She suggests I search for Cass along the bed of the lake or creek that runs past Firgol,Ela sugere que eu procure por Cass ao longo do leito do lago ou riacho que passa por Firgol
Such Wonders,Tais Maravilhas
Carnivale is upon you!,O Carnaval chegou!
Eat!,Comam!
Drink!,Bebam!
Revel!,Divirtam-se!
You must partake in all the wonders of the Carnivale!,Você deve participar de todas as maravilhas do Carnaval!
Try the drink at the Carnevale!,Experimente a bebida no Carnaval!
Sample the food at the Carnivale,Prove a comida no Carnaval
Give in to the music of the Carnivale,Entregue-se à música do Carnaval
The Surprise,A Surpresa
Enjoy the rest of the night,Aproveite o resto da noite
The Finale,O Final
Storm the Firgol manor,Inva a mansão de Firgol
The Baron's Play,A Peça do Barão
The Baron's play is about to begin,A peça do Barão está prestes a começar
Take your place in front of the stage,Tome o seu lugar em frente ao palco
The Tower of Ash,A Torre de Cinzas
We met a strange man on Idra who beseeched us to travel to an island just north of Idra called Eryll and seek out ‘The Tower of Ash’,Conhecemos um homem estranho em Idra que nos suplicou para viajar até uma ilha ao norte de Idra chamada Eryll e procurar por 'A Torre de Cinzas'
Apparently his master is somehow in dire straits and in need of aid,Pelo visto o mestre dele está em uma situação difícil e precisando de ajuda
"Though not much more could be learned from the man, I suspect his master may in fact be a Magos of quite some power","Embora não se tenha descoberto muito mais com o homem, suspeito que o mestre dele possa ser, na verdade, um Magos de considerável poder"
To the Tower,Para a Torre
I've been asked to travel to the island of Eryll,Pediram para eu viajar até a ilha de Eryll
It lies a short distance north of Idra but still south of Gradla,Ela fica a uma curta distância ao norte de Idra, mas ainda ao sul de Gradla
There I must find ‘The Tower of Ash’ and venture to learn more of the plight of its ‘Master’,Lá devo encontrar 'A Torre de Cinzas' e me aventurar para saber mais sobre a situação difícil do seu 'Mestre'
Down Below,Lá Embaixo
I met the strange apprentices of a Magos by the name of Calipero,Conheci os estranhos aprendizes de um Magos chamado Calipero
He seems to be missing in the halls underneath the tower and the apprentices are desperate to see him returned,Ele parece estar desaparecido nos salões embaixo da torre e os aprendizes estão desesperados para vê-lo de volta
The entrance to the dungeons below can be found under the mercury pool on the ground floor of the tower,A entrada para as masmorras abaixo pode ser encontrada sob a piscina de mercúrio no andar térreo da torre
Apparently the entrance will somehow reveal itself if I blow the silver flute given to me by the apprentices,Pelo visto a entrada vai se revelar de alguma forma se eu soprar a flauta de prata que os aprendizes me deram
Salts of Elthanyr,Sais de Elthanyr
"As I entered the dungeon, I was contacted through magical means by Calipero himself","Assim que entrei na masmorra, fui contatado por meios mágicos pelo próprio Calipero"
It seems he is locked in an arcane stale-mate with some creature he tried to call forth from beyond,Parece que ele está preso em um impasse arcano com alguma criatura que tentou invocar do além
To free himself he has asked that we create something called the Salts of Elthanyr and bring it to his summoning chambers beneath the main dungeon,Para se libertar, ele pediu que criássemos algo chamado Sais de Elthanyr e o levássemos para suas câmaras de invocação sob a masmorra principal
Ingredient Hunt,Caça aos Ingredientes
To craft the Salts of Elthanyr I need to find the 'Protoplasmic Catalyzer' and add the following ingredients is this exact order,Para fabricar os Sais de Elthanyr, preciso encontrar o 'Catalisador Protoplasmático' e adicionar os seguintes ingredientes nesta ordem exata
First add Sylversalt,Primeiro adicione Sylversalt
"Second, add Salamander’s Horn","Segundo, adicione Chifre de Salamandra"
"Finally, add Lotus Petals","Por fim, adicione Pétalas de Loto"
I'm sure these ingredients as well as the 'Protoplasmic Catalyzer' can be found in this very dungeon,Tenho certeza de que esses ingredientes, assim como o 'Catalisador Protoplasmático', podem ser encontrados nesta mesma masmorra
The Recipe,A Receita
For starters I need to find the recipe for Salts of Elthanyr,Para começar, preciso encontrar a receita dos Sais de Elthanyr
Hopefully the recipe can be found somewhere in this dungeon,Com sorte, a receita poderá ser encontrada em algum lugar desta masmorra
The Summoning Chamber,A Câmara de Invocação
I've crafted the Salts of Elthanyr,Fabriquei os Sais de Elthanyr
Now I need to make my way down Calipero's Summoning Chambers and assist him as best I can,Agora preciso descer até as Câmaras de Invocação de Calipero e ajudá-lo da melhor forma possível
Vomit Cups,Cogumelos do Vômito
"Esteban, the alchemist in the Underhalls under Horryn, has asked me to find some ‘vomit cup’ fungi for him","Esteban, o alquimista nos Salões Subterrâneos sob Horryn, pediu para eu encontrar alguns fungos 'cogumelo do vômito' para ele"
They are large green fungi that smell horribly,Eles são fungos verdes grandes que cheiramrivelmente
He explains that they grow in caves adjoining the Underhalls,Ele explica que eles crescem em cavernas adjacentes aos Salões Subterrâneos
These caves can be accessed through a barred gate west of the Rat-Queens court,Essas cavernas podem ser acessadas por um portão de grades a oeste da corte da Rainha Rata
The area is off-limits and a guard patrols it,A área é proibida e um guarda a patrulha
"Once past the gate, I should make a left turn and find the chamber where the vomit cups grow","Assim que passar pelo portão, devo virar à esquerda e encontrar a câmara onde os cogumelos do vômito crescem"
"Afterwards, I’ll return to Esteban for my rewards as well as access to his alchemical supplies","Depois, voltarei até Esteban para receber minhas recompensas, bem como o acesso aos seus suprimentos alquímicos"
