Original,translation
They’ve found the secret passage to some kind of cave below the false tomb,Eles encontraram a passagem secreta para uma especie de caverna abaixo da falsa tumba
Something far older than the Priory itself,Algo muito mais antigo que o proprio Priorato
Older than the Empire even is the talk around camp,Mais antigo ate que o Imperio e o que dizem pelo acampamento
I just wish my insides didn’t hurt as much,Eu so queria que as minhas entranhas nao doessem tanto
They’re sending me down with the next shipment of tools,Estao me mandando para baixo com a proxima remessa de ferramentas
That means passing the ‘night-maze’,Isso significa passar pelo labirinto da noite
They say it can’t be lit even by magical lighting,Dizem que nao pode ser iluminado nem por luz magica
I hate the dark,Odeio o escuro
Apparently it’s easy enough to navigate if you know how,Aparentemente e bem facil de navegar se voce souber como
South until you hit the first wall and then west until wall - north until wall - west until wall - north until wall - west until wall - then north and you’re there,Sul ate bater na primeira parede e depois oeste ate a parede - norte ate a parede - oeste ate a parede - norte ate a parede - oeste ate a parede - depois norte e voce chegou
I went all the way to the sanctum this time,Eu fui ate o santuario desta vez
By the Golden how I wish I had not,Pelo Dourado como eu queria nao ter ido
How can such a thing be?,Como uma coisa dessas pode ser possivel?
The writing becomes rushed,A escrita se torna apressada
Hear screams below,Escuto gritos abaixo
Something is wrong,Algo esta errado
Save us!,Salve-nos!
#Clothing,#Roupas
Clothing,Roupas
Apron,Delantal,
Dress,Vestido,
Commoner's Garb,Traje de Plebeio
Rough but functional woolen clothing that serves the hard-working commoners of the empire well,Roupa de la aspera mas funcional que serve bem aos plebeios trabalhadores do imperio
Bravo's Outfit,Traje de Bravo
Checkered Tunic,Tunica Xadrez
Doublet,Giba
Noble's Outfit,Traje de Nobre
Pants,Calcas
Rags,Harapos
Ranger's Outfit,Traje de Patrulheiro
Robes,Tunicas
Flashy Shirt,Camisa Chamativa
Short Pants,Calcas Curtas
Comfortable Outfit,Traje Confortavel
Tabard,Tabardo
Toga,Toga
Traveler's Garb,Traje de Viajante
Rough but functional woolen clothing,Roupa de la aspera mas funcional
"Well suited for travel and adventuring if you can learn to live with the itching","Muito adequada para viagens e aventuras se voce aprender a viver com a coceira"
Tribal Sash,Faixa Tribal
Furs,Peles
#Consumeables,#Consumiveis
Consume,Consumir
Consumable,Consumivel
Brandy,Brandi
A bottle of strong Gorremian brandy,Uma garrafa de brandi gorremiano forte
The tired old mercenary's best friend,O melhor amigo do velho mercenario cansado
Potion of Cure Disease,Pocao de Curar Doenca
Potion of Cure Poison,Pocao de Curar Veneno
Firgol Cider,Sidra de Firgol
"Sparkling and sweet, this cider comes from the slow-growing orchards of Firgol","Espumante e doce, esta sidra vem dos pomares de crescimento lento de Firgol"
"Many claim it’s the best in all of the Northern Empire whilst a handful of bad apples will complain it’s too sweet","Muitos dizem ser a melhor de todo o Imperio do Norte enquanto alguns reclamam que e doce demais"
Potion of Greater Restoration,Pocao de Restauracao Maior
Greater Tonic of Vitality,Tonico Maior de Vitalidade
Lesser Tonic of Vitality,Tonico Menor de Vitalidade
Moderate Tonic of Vitality,Tonico Moderado de Vitalidade
Potion of Acid Immunity,Pocao de Imunidade a Acido
Potion of Electric Immunity,Pocao de Imunidade a Eletricidade
Potion of Fire Immunity,Pocao de Imunidade a Fogo
Potion of Panic Immunity,Pocao de Imunidade a Panico
Greater Attunement Tonic,Tonico Maior de Sintonia
Lesser Attunement Tonic,Tonico Menor de Sintonia
Moderate Attunement Tonic,Tonico Moderado de Sintonia
Mead,Hidromel
A sweet alcoholic brew made from honey,Uma bebida alcoolica doce feita de mel
"Widely enjoyed in all of the Northern Empire and the Outer Isles","Muito apreciada em todo o Imperio do Norte e nas Ilhas Exteriores"
Potion of Agility,Pocao de Agilidade
Potion of Bless,Pocao de Abencoar
Potion of Diamond Form,Pocao de Forma de Diamante
Potion of Fortify Will,Pocao de Fortalecer Vontade
Potion of Frenzy,Pocao de Frenesi
Potion of Heroism,Pocao de Heroismo
Potion of Regeneration,Pocao de Regeneracao
Potion of Speed,Pocao de Velocidade
Potion of Stone Skin,Pocao de Pele de Pedra
Potion of Strength,Pocao de Forca
Potion of Acid Resistance,Pocao de Resistencia a Acido
Potion of Electric Resistance,Pocao de Resistencia a Eletricidade
Potion of Fire Resistance,Pocao de Resistencia a Fogo
#Foods,#Alimentos
Apple,Maca
"Whilst its ability to keep the medicae away has yet to be proven, this common fruit can be found growing on trees in the summer months and is a staple in the pantry of peasants and noblemen alike","Embora sua capacidade de afastar os medicos nao tenha sido provada, esta fruta comum cresce nos meses de verao e e essencial na despensa de camponeses e nobres"
Bacon,Torresmo
There is truly no better way to start the day than with a fresh chunk of this salted pork,Nao ha maneira melhor de comecar o dia do que com um pedaco fresco deste porco salgado
Dark Bread,Pao Escuro
A piece of the traditional dark and heavy full-grain bread that is eaten throughout the region by farmers and laborers,Um pedaco do tradicional pao integral escuro e pesado que e comido na regiao por fazendeiros e trabalhadores
Butter,Manteiga
"Due to its affordability, the rich and creamy, salted butter from Heartlander cows is a popular source of nourishment amongst the lower classes of the Empire","Devido ao preco acessivel, a manteiga salgada cremosa das vacas de Heartlander e uma fonte popular de alimento entre as classes baixas do Imperio"
There’s nothing butter,Nao ha nada melhor
Carrot,Cenoura
"Abundant and healthy, carrots are a staple in the soups and stews of the north","Abundantes e saudaveis, as cenouras sao essenciais nas sopas e ensopados do norte"
"Also, Hospitallers claim they improve your night-sight","Além disso, os Hospitalarios afirmam que elas melhoram a visao noturna"
Cheddar,Queijo Cheddar
"Made from cow's milk, this cheese is common and beloved throughout the Imperial heartlands","Feito de leite de vaca, este queijo e comum e amado por todas as terras centrais do Imperio"
Perfect for eating with bread and ham,Perfeito para comer com pao e presunto
Sheep's Milk Cheese,Queijo de Leite de Ovelha
As inexpensive and filling as it is smelly,Tao barato e que enche a barriga quanto e fedorento
Sheep's milk cheese is a staple in the northern Hinterlands,O queijo de leite de ovelha e essencial nas Terras Distantes do norte
Crab,Caranguejo
"Many of the Empire’s citizens will pay a pretty penny to get their hands on this soft, sweet meat","Muitos dos cidadaos do Imperio pagariam uma boa grana para colocar as maos nesta carne macia e doce"
"Boiled in salted water and served on white bread with melted butter and squeezed lemon, crab-meat is truly a feast","Fervida em agua salgada e servida no pao branco com manteiga derretida e limao espremido, a carne de caranguejo e um verdadeiro banquete"
Cream,Creme
Rich and creamy,Rico e cremoso
Don’t let the cat have it,Nao deixe o gato pegar
Dried Meat,Carne Seca
"A favorite amongst adventures, this smoky, preserved meat can last longer than most people’s lives","Uma das favoritas entre os aventureiros, esta carne defumada e preservada pode durar mais do que a vida da maioria das pessoas"
Eel,Enguia
"Due to their abundance in both rivers and oceans, eels are one of the most popular seafoods in the Empire","Devido a sua abundancia tanto em rios quanto em oceanos, as enguias sao um dos frutos do mar mais populares do Imperio"
"So popular, in fact, that some citizens have even been known to accept them as payment","Tao popular, de fato, que alguns cidadaos ate as aceitam como forma de pagamento"
Eggs,Ovos
Don't put them all in one basket,Nao coloque todos os ovos na mesma cesta
Perklin,Perklin
The humble perklin makes up for its meager size with its abundance,O humilde perklin compensa seu tamanho insignificante com sua abundancia
It's often perserved with salt and eaten year round,E frequentemente preservado com sal e comido o ano todo
The smell is an acquired taste,O cheiro e um gosto adquirido
Redman,Homem-Vermelho
The tongue and eyes of the redman swells grotesquely once it's pulled from the depth in which it dwells,A lingua e os olhos do homem-vermelho incham grotescamente quando ele e puxado das profundezas em que habita
"Despite its apperance, however, its flesh is considered a delicacy when served baked with lemons and vegetables","Apesar de sua aparencia, no entanto, sua carne e considerada uma iguaria quando servida assada com limoes e vegetais"
Steel-Fin,Aleta de Aco
Dead fish eyes stare up at you,Olhos de peixe morto encaram voce
Steel-Fin is a staple on dinner tables throughout the Outer Isles,Aleta de Aco e um alimento basico nas mesas de jantar por todas as Ilhas Exteriores
It's commonly eaten in hearthy stews with vegetables,E comumente comido em ensopados fartos com vegetais
Flour,Farinha
One of the greatest of the Gallian Miracles was the turning of deserts into the great rolling wheat fields that now constitute a large portion of the Heartland,Um dos maiores Milagres Gallianos foi a transformacao de desertos nos grandes campos de trigo que hoje constituem uma grande parte das Terras Centrais
From these flows countless tons of grain and rich white flour,Daqui fluem incontaveis toneladas de graos e rica farinha branca
Garlic,Alho
"Pungent and full of flavor, this herb is most frequently used to enhance a variety of meals","Picante e cheio de sabor, esta erva e mais frequentemente usada para realcar uma variedade de refeicoes"
Cured Ham,Presunto Curado
"Tender, savory and long lasting","Macio, saboroso e duradouro"
Cured ham is found in the cellar of every well-to-do merchant and petty noble in the Empire,O presunto curado e encontrado na adega de todo comerciante abastado e pequeno nobre no Imperio
Honey,Mel
"Sticky and sweet, this ingredient is often used by cooks to sweeten or preserve food, and is a staple in every mead-makers arsenal","Pegajoso e doce, este ingrediente e frequentemente usado por cozinheiros para adocar ou preservar alimentos, e e essencial no arsenal de todo fabricante de hidromiel"
It is even said to have curative properties when applied to infected wounds,Diz-se ate que tem propriedades curativas quando aplicado em feridas infectadas
Leeks,Alho-poro
"Beyond just the taste, leeks go a long way towards adding some color to the drab cuisine of the poor","Mais do que apenas o sabor, o alho-poro ajuda muito a adicionar um pouco de cor a culinaria sem graca dos pobres"
Lemons,Limoes
"In the north, lemons are almost exclusively found on ships where they serve to protect the sailors from the terrible scurvy that prolonged idleness and sexual abstinence is known to cause","No norte, os limoes sao encontrados quase exclusivamente em navios, onde servem para proteger os marinheiros do terrivel escorbuto que a ociosidade prolongada e a abstinencia sexual costumam causar"
Baked Crab,Caranguejo ao Forno
The crab flesh is coated in spiced butter before baking in the oven to perfection,A carne de caranguejo e coberta com manteiga temperada antes de ser assada no forno com perfeicao
Baked Mushrooms,Cogumelos ao Forno
The nutty flavor of the wyrdloaf mixes wonderfully with the aromas of garlic to produce a meal fit for an emperor,O sabor de nozes do pão-wyrd se mistura maravilhosamente com os aromas de alho para produzir uma refeicao digna de um imperador
Baked Onions,Cebolas ao Forno
"Onions are easily grow, keep for long and go a long ways towards covering up the taste of half-spoiled fish or meat","As cebolas sao faceis de cultivar, duram muito e ajudam bastante a disfarcar o gosto de peixe ou carne meio estragados"
Baked Oysters,Ostras ao Forno
Tender oysters coated in bread-crumbs and baked until just right,Ostras macias cobertas com farinha de rosca e assadas ate o ponto certo
You just hope the oysters were fresh,Voce so espera que as ostras estivessem frescas
Baked Potato,Batata Assada
It is said that potatoes alone can nourish a man's body indefinitely,Diz-se que as batatas sozinhas podem nutrir o corpo de um homem indefinidamente
The same cannot be said for his soul,O mesmo nao se pode dizer de sua alma
Beef Stew,Ensopado de Carne
"A thick, hearty stew of beef cooked in rich, Ombarian wine","Um ensopado grosso e encorpado de carne de gado cozida em rico vinho ombariano"
Cheese Plate,Prato de Queijos
"Ah, the understated elegance of a cheese and fruit plate","Ah, a elegancia discreta de um prato de queijos e frutas"
Eggs and Bacon,Ovos com Bacon
The breakfast of titans,O cafe da manha dos titas
Baked Fish,Peixe ao Forno
"A delicious-looking plate of baked, white fish on a bed of vegetables seasoned with freshly squeezed lemon","Um prato delicioso de peixe branco ao forno em uma cama de vegetais temperados com limao espremido na hora"
Salted Fish,Peixe Salgado
The fisherman's best friend,O melhor amigo do pescador
Preferably eaten with a mug of ale on the side,De preferencia comido com uma caneca de cerveja do lado
Fish Stew,Ensopado de Peixe
A steaming bowl of fish and vegetable stew,Uma tigela fumegante de ensopado de peixe e vegetais
This type of dish is eaten more or less daily by the coast-dwellers of the north,Este tipo de prato e comido quase diariamente pelos habitantes da costa do norte
It could do with some salt,Poderia levar um pouco de sal
Grilled Leeks,Alho-poro Grelhado
Mashed Potatoes,Pure de Batata
Just the way mothers all over the Empire would make it!,Do jeitinho que as maes por todo o Imperio fariam!
Meat Skewers,Espetinhos de Carne
Richly spiced meat roasted on skewers,Carne ricamente temperada assada em espetos
A popular dish that the Empire imported from its overseas colonies,Um prato popular que o Imperio importou de suas colonias ultramarinas
Farmer's Omelette,Omelete do Fazendeiro
"A nice farmer's omelette brings to mind the simple comforts of a quaint, rural life","Uma boa omelete do fazendeiro traz a mente os confortos simples de uma vida rural pitoresca"
Mushroom Omelette,Omelete de Cogumelo
The mushroom omelette tastes of the forest,A omelete de cogumelo tem gosto de floresta
Apple Pie,Torta de Maca
Sweet and comforting,Doce e reconfortante
Pumpkin Pie,Torta de Abobora
Nothing says autumn like a nice old slice of pumpkin pie,Nada representa melhor o outono do que uma boa fatia de torta de abobora
Roasted Eel,Enguia Assada
Crispy skin and tender meat,Pele crocante e carne macia
The roasted eel is seasoned with garlic and served with potato chips,A enguia assada e temperada com alho e servida com batatas fritas
Cheese Sandwich,Sanduiche de Queijo
"For a few short moments, whilst eating a melted cheese sandwich, all is well in the world","Por alguns breves momentos, enquanto se come um sanduiche de queijo derretido, tudo fica bem no mundo"
Mushroom Soup,Sopa de Cogumelos
Fried Steak,Bife Frito
A meal to put hair on your chest!,Uma refeicao para colocar pelos no seu peito!
Vegetable Soup,Sopa de Vegetais
"A farmer’s feast, often eaten in the fall when root vegetables are abundant","Um banquete de fazendeiro, frequentemente comido no outono quando os vegetais de raiz sao abundantes"
Morel,Morilha
Morels are mushrooms that make for excellent eating,As morilhas sao cogumelos excelentes para comer
Penny Buns,Cogumelos-Boleto
Penny Buns are mushrooms that make for excellent eating,Os cogumelos-boleto sao excelentes para comer
Wyrdloaf,Pao-Wyrd
Wyrdloaf are mushrooms that make for excellent eating,Os cogumelos pao-wyrd sao excelentes para comer
Nuts,Nozes
"Often added to meat dishes to boost nutrition, these tasty treats can be found growing on various trees and bushes throughout the Empire","Frequentemente adicionadas a pratos de carne para aumentar a nutricao, essas delicias podem ser encontradas crescendo em varias arvores e arbustos por todo o Imperio"
Onions,Cebolas
Oysters,Ostras
This earthy flavored molluscs has been known to increase a person’s desire and sexual stamina,Sabe-se que estes moluscos de sabor terroso aumentam o desejo e a resistencia sexual de uma pessoa
No wonder then that the courtiers and lay nobility of the Heartlands gorge themselves on this delicacy,Nao e de se admirar que os cortesao e a nobreza leiga das Terras Centrais se fartem com esta iguaria
Just remember to smell them before you eat them,Apenas lembre-se de cheira-las antes de comer
Pear,Pera
A freshly picked, juicy pear,Uma pera suculenta recem-colhida
"Eat it fresh, bake it in a pie or make brandy from it!","Coma fresca, asse em uma torta ou faca brandi com ela!"
Potatoes,Batatas
Pumpkin,Abobora
A bit watery and tasteless but might work well in a soup or a pie,Um pouco aquosa e sem gosto mas pode funcionar bem em uma sopa ou torta
Ration,Racao
A trail ration of dried meats, fruits and grains,Uma racao de viagem de carnes secas, frutas e graos
As sure to filling as it is boring,Tao certa para encher a barriga quanto e sem graca
Salt,Sal
An empire runs on salt,Um imperio funciona a base de sal
"As the Gallian Empire's preservative and seasoning of choice, it is no wonder that the Salt Merchant's Guild is both rich and very powerful","Como o conservante e tempero de escolha do Imperio Galliano, nao e de se admirar que a Guilda dos Mercadores de Sal seja rica e muito poderosa"
Snails,Caracois
"Despite their slimy appearance, these small creatures are a delicacy amongst nobles and commoners alike and are often eaten with garlic butter or as part of hearty casseroles","Apesar de sua aparencia gosmenta, essas pequenas criaturas sao uma iguaria tanto entre nobres quanto plebeios e sao frequentemente comidas com manteiga de alho ou como parte de cozidos fartos"
Spices,Especias
Imported from far away lands at great cost and risk, spices are worth their weight in gold,Importadas de terras longinquas com grande custo e risco, as especias valem seu peso em ouro
"Aromatic and delicious, they are a precious commodity used by the upper classes to enhance their meals","Aromaticas e deliciosas, sao uma mercadoria preciosa usada pelas classes altas para realcar suas refeicoes"
Squid,Lula
If they’re not filling the bellies of the upper-class, these slippery sea-creatures are being harvested for their ebony coloured ink,Se nao estiverem enchendo as barrigas da classe alta, essas criaturas marinhas escorregadias sao coletadas por sua tinta de cor ebano
Sugar,Acucar
"Due to its rarity, this sweet ingredient is usually only found in the kitchens of noble and middle-class households where it is typically used to make glorious pastries and confections","Devido a sua raridade, este ingrediente doce geralmente so e encontrado nas cozinhas de lares nobres e de classe media, onde e tipicamente usado para fazer doces e confeitos gloriosos"
Beef,Carne de Gado
"A favorite on many a noble’s table, this thick cut of meat is as rich in iron as it is in flavor","Um favorito na mesa de muitos nobres, este corte grosso de carne e tao rico em ferro quanto em sabor"
Warberries,Baias da Guerra
Rich harvests from the warberry bush is said to portend war,Diz-se que colheitas fartas do arbusto de baia da guerra pressagiam a guerra
These tart berries are often used to make jams or other preserves in case food should become scarce,Essas baias azedas sao frequentemente usadas para fazer geleias ou outras conservas caso a comida fique escassa
Ombarian Wine,Vinho Ombariano
Fine wine imported from the vinyards of the Ombaria,Vinho fino importado dos vinhedos de Ombaria
Rumors abound of grape harvests failing due to drought in the Heartlands and wine is currently hard to come by,Abundam rumores de que as colheitas de uva estao fracassando devido a seca nas Terras Centrais e o vinho esta dificil de encontrar atualmente
#Gems,#Gemas
Amethyst,Ametista
"A common variety of quartz often believed to offer enlightenment, this gemstone is often found in the mountains of Gorremia","Uma variedade comum de quartzo que frequentemente se acredita oferecer iluminacao, esta pedra preciosa e encontrada nas montanhas de Gorremia"
Archon's Eye,Ojo do Arconte
A common gemstone across the Empire,Uma pedra preciosa comum por todo o Imperio
Crones will tell you it protects the user from bad luck,As bruxas velhas vao te dizer que ela protege o usuario do azar
Diamond,Diamante
The “Empress” of gemstones,A Imperatriz das pedras preciosas
Emerald,Esmeralda
A highly coveted semi-precious stone often worn by members of the lay-nobility,Uma pedra semipreciosa muito cobicada frequentemente usada por membros da nobreza leiga
Moonstone,Pedra da Lua
"This adularescent gem is believed by some to have fallen from the moon itself, but its low cost suggests otherwise","Alguns acreditam que esta gema adularescente caiu da propria lua, mas seu baixo custo sugere o contrario"
Opal,Opala
This semi-precious stone is found in far Arassha and is often inset in items of power,Esta pedra semipreciosa e encontrada na distante Arassha e frequentemente inserida em itens de poder
Painite,Painita
"A rare mineral often misidentified as a ruby, this gemstone is often called “The Jewler’s Best Friend","Um mineral raro frequentemente identificado erroneamente como rubi, esta pedra preciosa e chamada de O Melhor Amigo do Joalheiro"
Pearl,Perola
"A spherical stone, typically white or bluish-gray, the pearl is a favorite of rich sea-merchants","Uma pedra esferica, tipicamente branca ou cinza-azulada, a perola e a favorita dos ricos mercadores maritimos"
Red Beryl,Berilo Vermelho
An extremely rare and coveted gemstone that can sometimes be found inset in the regalia of the Empire’s most powerful,Uma pedra preciosa extremamente rara e cobicada que as vezes pode ser encontrada inserida nos ornamentos dos mais poderosos do Imperio
Ruby,Rubi
"A coveted, durable gemstone often worn by Magi of high rank","Uma pedra preciosa cobicada e duravel frequentemente usada por Magos de alto escalao"
Topaz,Topazio
Topaz is commonly traded by Ombarian merchants,O topazio e comumente negociado por mercadores ombarianos
"Usually light blue in color, the gem can be traded at a low cost","Geralmente de cor azul-clara, a gema pode ser negociada a baixo custo"
#Idle Items,#Itens Inativos
Banner,Estandarte
Helbard,Alabarda
Pitchfork,Horcado
Rake,Rastelo
Scythe,Guadana
Spear,Lanca
#Jewelry,#Joias
Amulet of Perfect Health,Amuleto da Saude Perfeita
Grants the wearer immunity to Disease,Otorga ao portador imunidade a Doencas
The Lunar Ring,O Anel Lunar
The Lunar Ring increases the radius of Aura spells by,O Anel Lunar aumenta o raio dos feiticos de Aura em
Skull Necklace,Colar de Caveira
An exquisitely crafted necklace that could be quite valuable,Um colar requintadamente trabalhado que pode ser muito valioso
Diamond Necklace,Colar de Diamantes
Firegold Necklace,Colar de Ouro de Fogo
Coral Necklace,Colar de Coral
Pagan Necklace,Colar Pagao
Beryl Necklace,Colar de Berilo
Garnet Necklace,Colar de Granada
Profane Necklace,Colar Profano
Arcane Necklace,Colar Arcano
Ancient Necklace,Colar Antigo
Brass Necklace,Colar de Latao
A necklace that can be sold for a few coins,Um colar que pode ser vendido por algumas moedas
Opal Necklace,Colar de Opala
A necklace that will fetch a nice price,Um colar que alcancara um bom preco
Silver Necklace,Colar de Prata
Gold Necklace,Colar de Ouro
Copper Necklace,Colar de Cobre
Copper Locket,Medalhao de Cobre
Jade Necklace,Colar de Jade
Ruby Necklace,Colar de Rubi
Ancient Gold Necklace,Colar de Ouro Antigo
Ancient Jade Necklace,Colar de Jade Antigo
The Guarded Heart,O Coracao Guardado
A beautifully crafted golden ring with a heart carved into it,Um anel de ouro belamente trabalhado com um coracao esculpido nele
The wearer of this ring will find their resolve strengthened,O portador deste anel encontrara sua determinacao fortalecida
Adds +1 to Will,Adiciona +1 para Vontade
Skull Ring,Anel de Caveira
An exquisitely crafted ring that could be quite valuable,Um anel requintadamente trabalhado que pode ser muito valioso
Topaz Ring,Anel de Topazio
Lapis Ring,Anel de Lapis-Lazuli
Frater's Ring,Anel do Frade
Sepulchite's Ring,Anel de Sepulchita
Flowgold Ring,Anel de Ouro Fluido
Wavestrider Ring,Anel do Caminhante das Ondas
Tempest Ring,Anel da Tempestade
Lupercal Ring,Anel Lupercal
Arboreal Ring,Anel Arboreo
Primordial Ring,Anel Primordial
Ruby Ring,Anel de Rubi
Genesis Ring,Anel Genesis
Fire Opal Ring,Anel de Opala de Fogo
Emerald Ring,Anel de Esmeralda
Amethyst Ring,Anel de Ametista
Serpent Ring,Anel de Serpente
Aquamarine Ring,Anel de Água-Marinha
Sunstone Ring,Anel de Pedra do Sol
Green Sapphire Ring,Anel de Safira Verde
Brass Ring,Anel de Latao
"A modest, but well crafted ring","Um anel modesto, mas bem trabalhado"
Silver Ring,Anel de Prata
Gold Ring,Anel de Ouro
"A modest, but well crafted golden ring","Um anel de ouro modesto, mas bem trabalhado"
#Keys,#Chaves
Crypt Key,Chave da Cripta
A bloodied bronze key that opens something in the crypt under the temple in Horryn,Uma chave de bronze ensanguentada que abre algo na cripta sob o templo em Horryn
Surgery Door Key,Chave da Porta da Enfermaria
"A small key that unlocks the door to the surgery on the ""Zephyr","Uma chave pequena que destranca a porta da enfermaria no Zefiro"
Armory Key,Chave do Armorial
A key that was discovered inside the keep in Horryn,Uma chave que foi descoberta dentro da fortaleza em Horryn
Black Key,Chave Negra
A large black key that unlocks something inside the Black Priory,Uma chave negra grande que destranca algo dentro do Priorato Negro
Smugglers Key,Chave dos Contrabandistas
A large rusty key that seems like it would open a chest or some other container,Uma chave grande e enferrujada que parece abrir um bau ou outro recipiente
You found it on a drowned corpse beneath the lighthouse,Voce a encontrou em um cadaver afogado sob o farol
#Melee Weapons,#Armas Corpo a Corpo
Light Blade,Lamina Leve
Medium Blade,Lamina Media
Heavy Blade,Lamina Pesada
Masterwork Dagger,Daga Obra-Prima
Broadsword,Espada Larga
Fine Broadsword,Espada Larga Fina
Masterwork Broadsword,Espada Larga Obra-Prima
Crude Broadsword,Espada Larga Tosca
Light Club,Porrete Leve
Fine Club,Porrete Refinado
Masterwork Club,Porrete Obra-Prima
Crude Club,Porrete Tosco
Cutlass,Alfanje
A cutlass is a curved sword favored by sailors and swordsmen of Yom-Baria,Um alfanje e uma espada curva preferida pelos marinheiros e espadachins de Yom-Baria
Fine Cutlass,Alfanje Refinado
Masterwork Cutlass,Alfanje Obra-Prima
Crude Cutlass,Alfanje Rudimentar
Dagger,Daga
Ancient Dagger,Daga Antiga
"An ancient dagger, carved from a strange greenish stone","Uma daga antiga, esculpida em uma estranha pedra esverdeada"
"It looks almost ritual and you suspect it might be of some value to someone with the right interest","Parece quase ritualistica e voce suspeita que possa ter algum valor para alguem com o interesse certo"
Fine Dagger,Daga Refnada
Crude Dagger,Daga Rudimentar
The Sparrowhawk,O Gaviao
A legendary rapier of unrivaled quality,Um estoque lendario de qualidade sem igual
The wielder also adds +2 to initiative,O portador tambem adiciona +2 para iniciativa
Greataxe,Machado Grande
Fine Greataxe,Machado Grande Refinado
Masterwork Greataxe,Machado Grande Obra-Prima
Crude Greataxe,Machado Grande Rudimentar
Greathammer,Martelo Grande
Fine Greathammer,Martelo Grande Refinado
Masterwork Greathammer,Martelo Grande Obra-Prima
Crude Greathammer,Martelo Grande Tosco
Handaxe,Machadinha
Fine Handaxe,Machadinha Refinada
Masterwork Handaxe,Machadinha Obra-Prima
Crude Handaxe,Machadinha Tosca
Longsword,Espada Longa
Fine Longsword,Espada Longa Refinada
Masterwork Longsword,Espada Longa Obra-Prima
Crude Longsword,Espada Longa Tosca
Mace,Maca
Fine Mace,Maca Refinada
Masterwork Mace,Maca Obra-Prima
Crude Mace,Maca Tosca
Mathias's Sword,Espada de Mathias
A beautifully crafted bastard-sword,Uma espada bastarda belamente trabalhada
Rapier,Estoque
Fine Rapier,Estoque Refinado
Masterwork Rapier,Estoque Obra-Prima
Crude Rapier,Estoque Tosco
Scimitar,Cimitarra
Fine Scimitar,Cimitarra Refinada
Masterwork Scimitar,Cimitarra Obra-Prima
Crude Scimitar,Cimitarra Rudimentar
Shortsword,Espada Curta
Fine Shortsword,Espada Curta Refinada
Masterwork Shortsword,Espada Curta Obra-Prima
Crude Shortsword,Espada Curta Tosca
The Lake Blade,A Lamina do Lago
A stunningly wrought longsword of ancient design,Uma espada longa incrivelmente trabalhada de design antigo
"The bluish sheen of its metal never seems to lose its luster giving it its name","O brilho azulado do seu metal nunca parece perder o lustro, o que lhe deu o nome"
You recovered this sword from the crypt under Horryn,Voce recuperou esta espada da cripta sob Horryn
Two-Hander,Espada de Duas Maos
A large sword that must be wielded two-handed,Uma espada grande que deve ser empunhada com as duas maos
Fine Two-Hander,Espada de Duas Maos Refinada
Masterwork Two-Hander,Espada de Duas Maos Obra-Prima
Crude Two-Hander,Espada de Duas Maos Tosca
Waraxe,Machado de Guerra
Fine Waraxe,Machado de Guerra Refinado
Masterwork Waraxe,Machado de Guerra Obra-Prima
Crude Waraxe,Machado de Guerra Tosco
Warhammer,Martelo de Guerra
Fine Warhammer,Martelo de Guerra Refinado
Masterwork Warhammer,Martelo de Guerra Obra-Prima
Crude Warhammer,Martelo de Guerra Tosco
#Misc Items,#Itens Variados
Vomit Cups,Copos de Vomito
"A bag of highly toxic fungi for Esteban, the alchemist in the Underhalls","Uma bolsa de fungos altamente toxicos para Esteban, o alquimista dos Saloes Subterraneos"
Bee Smoker,Ahumador de Abelhas
A small apparatus that creates smoke,Um pequeno aparato que cria fumaca
Used to calm bees before harvesting honey,Usado para acalmar abelhas antes de colher mel
Cassilda's Song,A Cancao de Cassilda
"A folded up piece of paper that has ‘To Camilla - From Cassilda' written on it","Um pedaco de papel dobrado com os dizeres Para Camilla - De Cassilda escrito nele"
"Supposedly it contains the words of a song intended for Camilla’s eyes only","Supostamente contem a letra de uma cancao destinada apenas aos olhos de Camilla"
A Foul-Smelling Potion,Uma Pocao Malcheirosa
"A bottle of medicine made by Mother Katak to help cure the infection that is spreading through the Idran refugee camp","Uma garrafa de remedio feita pela Mae Katak para ajudar a curar a infeccao que esta se espalhando pelo acampamento de refugiados de Idra"
Firgol Honey,Mel de Firgol
A honeycomb retrieved from one of the beehives in Firgol,Um favo de mel recuperado de uma das colmeias de Firgol
It has a spectacular shade of yellow,Tem um tom de amarelo espetacular
Vessel,Recipiente
A strange vessel that could hold liquid,Um recipiente estranho que poderia conter liquido
Full Vessel,Recipiente Cheio
A strange vessel containing liquid,Um recipiente estranho contendo liquido
Stuffed Animal,Animal de Pelucia
A small, ragged stuffed animal,Um pequeno animal de pelucia esfarrapado
No doubt it should be returned to its owner with all due haste,Sem duvida deve ser devolvido ao dono com toda a pressa
Giant Lizard Egg,Ovo de Lagarto Gigante
Large eggs,Ovos grandes
Something appears to be moving inside,Algo parece estar se movendo dentro
Mallet,Malho
A rounded mallet that seems to have some kind of ceremonial purpose,Um malho arredondado que parece ter algum tipo de proposito cerimonial
Children's Bones,Ossos de Criancas
"The tragic, mold covered, bones of two children","Os tragicos ossos cobertos de mofo de duas criancas"
Lighthouse Oil,Oleo de Farol
A pitcher full of oil,Uma jarra cheia de oleo
The kind that might be used for a lighthouse beacon,Do tipo que poderia ser usado para o farol
Nautical Guild Seal,Selo da Guilda Nautica
